Tanggal;Waktu;USD/oz;USD/gr;Kurs (IDR/USD);IDR/gr
2022-01-02;00:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;00:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;01:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;01:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;02:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;02:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;03:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;03:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;04:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;04:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;05:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;05:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;06:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;06:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;07:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;07:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;08:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;08:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;09:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;09:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;10:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;10:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;11:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;11:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;12:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;12:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;13:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;13:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;14:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;14:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;15:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;15:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;16:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;16:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;17:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;17:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;18:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;18:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;19:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;19:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;20:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;20:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;21:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;21:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;22:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;22:30;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;23:00;1.829,05;58,81;14.269,01;839.093,74
2022-01-02;23:30;1.829,05;58,81;14.269,01;839.093,74
